A. Bonmascota,,,,,,,,,,,,,
Բ002,,Բոնմասկոտա Դեյլի 10 կգ Bonmascota Daily,,,,,,,,,,,"9 000,00"
Բ001,,Բոնմասկոտա Դեյլի 20 կգ Bonmascota Daily,,,,,,,,,,,"15 000,00"
Բ007,,Բոնմասկոտա Էներջի 20 կգ Bonmascota Energy,,,,,,,,,,,"22 000,00"
Բ004,,Բոնմասկոտա Էքստրիմ 20 կգ Bonmascota Extrem,,,,,,,,,,,"24 000,00"
Բ005,,Բոնմասկոտա Կատուների 10 կգ Bonmascota Cat,,,,,,,,,,,"11 000,00"
Բ006,,Բոնմասկոտա Պլյուս 20 կգ Bonmascota Plus,,,,,,,,,,,"20 000,00"
Բ003,,Բոնմասկոտա Ջունիոր 10 կգ Bonmascota Junior,,,,,,,,,,,"13 000,00"
B. Josera GmbH Co KG,,,,,,,,,,,,,
Ջ45,,"Բարձր էներգետիկ արժեքով, շների High Energy 12․5kg",,,,,,,,,,,"22 500,00"
Ջ23,,"Բուժիչ Ռենալ, շների Help Renal Dog dry 10kg",,,,,,,,,,,"22 000,00"
Ջ12,,"Բուժիչ քաշի կարգավորման և դիաբետիկ, շների Help Weight & Diabetic Dog dry 10kg",,,,,,,,,,,"22 000,00"
Ջ26,,"Բուժիչ, Գաստրո, կատուների Help Gastro Cat Dry 2kg",,,,,,,,,,,"6 000,00"
Ջ21,,"Բուժիչ, Գաստրո, շներիHelp Gastro Dog dry 10kg",,,,,,,,,,,"22 000,00"
Ջ34,,"Բուժիչ, Հիպոալերգիկ, կատուների Help Hypoallergenic Cat Dry 2kg",,,,,,,,,,,"6 000,00"
Ջ22,,"Բուժիչ, Հիպոալերգիկ, շների Help Hypoallergenic dog 10kg",,,,,,,,,,,"25 000,00"
Ջ28,,"Բուժիչ, Ուրինարի, կատուների Help Urinary Cat dry 10kg",,,,,,,,,,,"25 000,00"
Ջ27,,"Բուժիչ, Ռենալ, կատուների Help Renal Cat Dry 10kg",,,,,,,,,,,"25 000,00"
Ջ38,,Գառի և բրնձի համով Josera Lamb & Rice 12.5kg,,,,,,,,,,,"26 000,00"
Ջ24,,Դեյլի քեթ կատուների Daily cat 10kg,,,,,,,,,,,"21 000,00"
Ջ37,,"Լարջ Բրիդ խոշոր ցեղատեսակի շների Large Breed 12,5kg",,,,,,,,,,,"22 500,00"
Ջ25,,Կատուների ձագերի Kitten Grainfree 10kg,,,,,,,,,,,"24 000,00"
Ջ46,,Կարտոֆիլի և Գառի համով շների կեր Lamb & Batate 12․5kg,,,,,,,,,,,"27 500,00"
Ջ36,,Մինի Դելյուքս շների Mini Deluxe Adult 10kg,,,,,,,,,,,"20 000,00"
Ջ18,,Մինի Ջունիոր շների համար Mini Junior 15kg,,,,,,,,,,,"33 500,00"
Ջ43,,Նեյչը քեթ Josera Nature Cat 10kg,,,,,,,,,,,"24 000,00"
Ջ48,,Չոր կեր շների համար Ֆեստիվալ 12․5կգ,,,,,,,,,,,"22 500,00"
Ջ41,,Ջոսիդոգ Էկոնոմ JosiDog Economy 15kg,,,,,,,,,,,"23 000,00"
Ջ08,,Ջոսիդոգ շների ողջ ընտանիքի JosiDog Family 15kg,,,,,,,,,,,"25 000,00"
Ջ09,,"Ջոսիդոգ Ջունիոր, շան ձագերի JosiDog Junior 15kg",,,,,,,,,,,"23 000,00"
Ջ11,,"Ջոսիդոգ Ռեգուլյար, շների JosiDog Regular 15kg",,,,,,,,,,,"23 000,00"
Ջ14,,"Ջոսիքեթ բադի համով, կատուների JosiCat Crispy Duck Adult 10kg",,,,,,,,,,,"16 000,00"
Ջ15,,Ջոսիքեթ ստերջացված կատուների JosiCat Sterilized Classic 10kg,,,,,,,,,,,"16 000,00"
Ջ16,,"Ջոսիքեթ տավարի մսի համով, կատուների JosiCat Tasty Beef Adult 10kg",,,,,,,,,,,"16 000,00"
Ջ44,,Ջոսիքեթ Քիթթն JosiCat Kitten 10kg,,,,,,,,,,,"16 000,00"
